real_A1, imag_A1, tlast
f99f29, 3a64cb, 0
b412aa, bd452a, 0
85a425, 77aace, 0
71cbfb, 35d1a3, 0
1b32e4, 5be64d, 0
2e3e9c, 0e7611, 0
389b7f, 7c333b, 0
9ef435, b5aa13, 0
ecd828, cd147e, 0
29f07c, 34f12a, 0
9dc4f5, 2a94aa, 0
753ce3, 17c277, 0
2ee89e, a82f16, 0
0c305e, 99f768, 0
d11a26, 21be92, 0
118f69, 96fce4, 0
212867, c875b6, 0
06c0c9, 243e8a, 0
6b27d3, 3187ef, 0
79655e, 6ca377, 0
c5f1eb, 083ccb, 0
35e029, cc9218, 0
55cd1b, e15e55, 0
af7579, 8b43d8, 0
2103b3, 0d9f0a, 0
30e136, a6b6a2, 0
827f75, 70333a, 0
dce719, cbf79e, 0
d47046, 3a97ba, 0
e99551, 1cdaae, 0
18910e, d82fed, 0
129a66, 050c41, 0
48734f, a81aa4, 0
f5c884, 52a9ff, 0
bd988f, d93540, 0
8312b1, bdfd60, 0
62db91, 6b5466, 0
59ca1b, 8e9e68, 0
60a4f0, abe400, 0
b27608, eed57e, 0
34ac33, 3e5226, 0
b3d032, b2b65a, 0
25a9d7, bf54e4, 0
8cb806, f290b4, 0
eb3653, dbf63b, 0
2db09c, 26c429, 0
1cd35c, 8d4933, 0
f75ff1, 693c4f, 0
3be0f8, c6e3c7, 0
ed1fc8, e28355, 0
471ef2, b48671, 0
8e2371, 17a35f, 0
882bb7, 46b75a, 0
b63df1, a003b6, 0
26dc0b, be19f5, 0
191f4e, 9a7614, 0
ce37de, b6fe43, 0
4aa661, a9fde2, 0
5356c1, acd674, 0
9a1274, 2499d9, 0
e68c9e, ac02c0, 0
3acc84, 4f925e, 0
720ca6, 94fb5e, 0
12f11c, 595952, 0
a91401, 90e8e1, 0
8d9104, ba5ef6, 0
9fcc48, 7d4edb, 0
7531fc, b2a2f9, 0
cafb04, 280698, 0
9bdd77, d2022c, 0
35af4c, bf6735, 0
2f6cdc, ee8a4c, 0
fdf8fd, 181db5, 0
a18cef, 7ce841, 0
bbc7e5, f4cb90, 0
53f11d, 1d4e3c, 0
52d2e8, 035559, 0
6483da, eba841, 0
d70f4a, e0997c, 0
da311f, d3df77, 0
50a0a5, 85eaf2, 0
5b5939, ea3fca, 0
419b25, 538136, 0
b5eb0b, bfc480, 0
094e1f, 2bd029, 0
7f8de5, 5c869d, 0
21ab00, efe5c3, 0
c62746, 549e73, 0
16ae4b, 1d86b8, 0
9d3b32, 8722d8, 1
128b0c, 4262f3, 0
93502e, b79b7f, 0
c66732, 48bb56, 0
f384e6, 6fa0e2, 0
b89ecf, 7d4caf, 0
4f45c7, 1ca653, 0
7a17fd, caab03, 0
780388, 551ae7, 0
4155f7, 69b22e, 0
c09e16, 5666db, 0
1195e9, 47ab3d, 0
b0b8aa, 7615d5, 0
9c3c31, bb94b6, 0
380e19, 9a1cd7, 0
b4983d, ddd1aa, 0
9f4093, d25d6e, 0
5a8efe, d5bd93, 0
70b102, eed520, 0
043a8c, a5968c, 0
7be062, 713185, 0
b374dd, 8dd255, 0
f00d70, 68ea82, 0
bb7d01, 85c956, 0
e6a705, 2dbb00, 0
1b4797, c19af5, 0
c2b257, 4dd0a3, 0
2bbde0, d6a80e, 0
47f442, 448393, 0
a1fba5, 20c7e2, 0
0f21cf, 919614, 0
a6bf42, 3f1075, 0
3b50f9, d5554f, 0
3a3b37, 58c41a, 0
d72bf2, 363ef2, 0
130a22, 268a3a, 0
f23ce5, 21d033, 0
d3e312, c06833, 0
60efac, d4d0c5, 0
8ad0cc, 2b51d0, 0
34c560, 374f1e, 0
8e91ea, f95eac, 0
67e9a4, e68bfc, 1
f2875a, 3fafdc, 0
810f12, d1c0fe, 0
d6a645, abce8b, 0
215aff, 1faac4, 0
cb4418, caad43, 0
71b6eb, ceaeca, 0
df74ab, 8a5fa0, 0
20a661, 34a4e0, 0
9d68bb, 384534, 0
e143f1, 765739, 0
d612a7, 467843, 0
51628a, 6a7a12, 0
cedd07, 6284a6, 0
324a7b, 3c37bf, 0
cedd47, 4c54b4, 0
c22478, dbe8a1, 0
7ad889, 02fbba, 0
b3f26a, 201bf7, 0
109d57, fac93b, 0
ba6fef, a37e78, 0
dc472a, 005f70, 0
f42091, 7f0c1a, 0
c3398f, 175070, 0
b791f9, 584d04, 0
7b94fd, c124a6, 0
17eb6e, a0015b, 0
9e5c61, c9392d, 0
e6934c, 20268f, 0
602104, 857ae9, 0
451f11, 6a5881, 0
a33ed3, 50c22e, 0
93226e, b327bc, 0
7c6487, 3be3a4, 0
a32f61, 7edb0a, 0
e9d3fc, e0904e, 0
ff0944, fcf6bf, 0
52b638, 3e90e1, 0
49f18c, 40b0b5, 0
d8642d, 81b0c9, 0
db35b8, 11cbe2, 0
ef4114, f700d8, 0
d57004, 0ebce2, 0
e5085b, 6b5557, 0
e14492, 6587fb, 0
502962, ed6826, 0
329b12, 433558, 0
c9a986, 9187a5, 0
dfb528, 865247, 0
8493e5, d081a6, 0
06e996, 8b4ff4, 0
1b6f9a, d3557e, 0
9a5683, 4e96d7, 0
7c0531, 61b7cb, 0
2fcb17, e9aaf6, 0
b17820, 52b22d, 0
0ae553, 665096, 0
522bb0, 132233, 0
a4216c, 2e52d5, 0
a80afe, 446cb5, 0
98d557, 8e127a, 0
b8f772, 9066a2, 0
60f661, 5366d4, 0
c596f5, e3645c, 0
e8aea8, caeefb, 0
81cd77, 916b68, 0
40477a, 578ad9, 0
6349f3, fff356, 0
6bade6, 088f4a, 0
369b4f, 956140, 0
e802ee, 984c79, 0
1b7b25, 349752, 0
f8a5b7, 2ba999, 0
026daf, cc36c7, 0
a4edc1, f99b35, 0
9b587a, 083c72, 0
ed8073, 18ba38, 0
dc32f0, f36fed, 0
fb9c4d, e02b5e, 1
cd7473, bb0cf5, 0
7321d3, ba49df, 0
373fc6, 7f987c, 0
82299d, e85062, 0
bf6531, 489097, 0
cc59e3, 5c831f, 0
c78c3e, 6d0575, 0
8466b9, 182e1c, 0
5c3541, 848f22, 0
