real_A1, imag_A1, tlast
d0da47, 8367c3, 0
4a45c8, 5f1984, 0
3f4129, 1ca5a0, 0
7d70ce, f46269, 0
a18d83, 9a9acd, 0
7411a4, 3e46bd, 0
628586, 00ae6c, 0
7bac39, c890c3, 0
edd631, 7872fc, 0
c933a9, eb9a45, 1
92ce2c, 322dbe, 0
7b20db, 855710, 0
0f38c0, 84e9ca, 0
8c68bc, 2a3796, 0
a47b22, 03257f, 0
7b7e40, 97821b, 0
e8fe21, 79b96a, 0
e74783, a62811, 0
771726, 350b5f, 0
5dda03, 111a19, 0
6a3861, 0f99ac, 0
eabfb9, e017de, 0
6de712, 70c9ae, 0
5f4f96, 32955d, 0
087fd1, 2c969f, 0
5f4fee, e7a67b, 0
a84096, 39cf8f, 0
b584c7, e64821, 0
16a54e, 70c136, 0
a8c883, 7ca0a2, 0
46f591, f91fc4, 0
34545b, f3c71c, 0
8fb41b, 8ec0aa, 0
45b2d0, f39b82, 0
2b646e, 351ea4, 0
633199, 752e5b, 0
8637ce, 1cf2a0, 0
1b1ec2, 5710bb, 0
1b799f, 47c007, 0
88a273, d68d86, 0
bdbb43, 08db94, 0
969b2a, 4bb07b, 0
1506a5, 254251, 0
63cfd4, dad727, 0
b2ed99, 3bf814, 1
2d7e38, b64b54, 0
975ce7, 787a12, 0
fd76c4, 7591c0, 0
7abeee, 528bdd, 0
d5019f, f350a5, 0
e3384c, 12b69d, 0
61862e, 25eb12, 0
c3ea24, 205c80, 0
0c2d28, 657b3b, 0
723686, dda4a0, 0
09ff14, 449291, 0
fe2f56, acc493, 0
2aeaf5, c80d97, 0
a44224, 35b206, 0
dab07e, 3aa571, 0
e0b906, c16b77, 0
37d21e, e68e28, 0
6c0e26, 97eb5e, 0
06f25c, caaf47, 0
d6a62d, cab10a, 0
01b9ef, 5c5936, 0
0947ce, 25908a, 0
668aeb, adfecf, 0
6f71b2, 0bd980, 0
94cde6, feab9a, 0
ceddde, 38fcf8, 0
3e9930, 90f1a1, 0
78a9be, adcab6, 0
6ac8ed, 1fe311, 0
ce6f93, 61d153, 0
c907e8, d33a02, 0
83ac27, 4131b0, 0
e8c316, 5632a1, 0
710e00, 5b2642, 0
422357, 588dd4, 0
ec66ea, 94ad10, 0
c545ab, c0b078, 0
08cc14, 75e20c, 1
7d036c, ccc6f7, 0
da104a, 55aa54, 0
4a7c77, c514e9, 0
3fe170, f59363, 0
04ad65, 993844, 0
81118d, cc247f, 0
7739bd, 5340b1, 0
f1f048, db5dd9, 0
66e91c, a2a410, 0
6ec464, 3e7ec4, 0
3e685c, 62b27c, 0
2873f8, dfba34, 0
b57ad1, 64f17c, 0
8bcbde, 1aa884, 0
fb71a0, 82181e, 0
573ce4, c153e2, 0
2fdd07, a1106b, 0
01ac88, 263db0, 0
12e7f4, 884c47, 0
0989e2, 464580, 0
075558, 432f1e, 0
48fdfc, da3b66, 0
4e9a53, 05dbda, 0
d87fb9, b4a557, 0
e1c89a, 2a1453, 0
2918cd, c7e26f, 1
0cb34b, 399fa5, 0
defc1c, 0fe697, 0
3905be, 164965, 0
826f6d, 8da8f0, 0
4ddf6d, 3acd31, 0
353d3e, 0b3109, 0
b98178, 2d653d, 0
2825f7, 38d414, 0
7e4357, 7a7466, 0
357c4d, 39f95b, 0
fc78a4, 91ac19, 0
76b604, e195d1, 0
2f5bee, 673ea0, 0
08d3bc, de999f, 0
e49104, e47a98, 0
f558ea, 16e7c7, 0
7016c2, ba130a, 0
c1601e, 228dde, 0
f5f409, a964a7, 0
24dfd4, fc526b, 0
132d9f, 722bf1, 0
ccab28, d55ff0, 0
c0c462, a99411, 0
956309, 3a2119, 0
bc61b6, 521b1e, 0
c1fd5d, cbf915, 0
2438c8, 79346f, 0
1c9d3e, 1e86bb, 0
9f2552, c870b4, 0
4ed412, 753709, 0
71055a, d72bac, 0
781ef2, 6d1870, 0
fec8a6, d82f95, 1
157b6c, f784fd, 0
71c065, 86581f, 0
57561a, 841d41, 0
3b93ca, 726d01, 0
1e96e4, 6dd38a, 0
397489, 9e904b, 0
d29382, 62d96a, 0
42e340, 6b9908, 0
ec9377, 869aa0, 0
fb8bb2, 256510, 0
d71b21, 33fe12, 0
ac3eb7, 19bc56, 0
854d94, 99189e, 0
5dd0a0, 60ab83, 0
8f2d64, 456d1f, 0
f7d86e, 772612, 0
0beb5b, 3ed3ba, 0
72f9f9, ef2937, 0
bb58fe, 736239, 0
f53851, 625db1, 0
5eeb99, a5aaf7, 0
5009d5, ebd89d, 0
596506, c93832, 0
14bb09, a04831, 0
191908, 90f97b, 0
00f104, 54db35, 0
8a3045, 4b8148, 0
11c31c, b9024a, 0
ca0669, 994b07, 0
3c59d6, a18c49, 0
0a663f, bf2a59, 0
e456e6, 3e3f6a, 0
4ec676, d6fd75, 0
69b91f, 37a7e1, 0
8e9944, ee6870, 0
b99045, f05091, 0
3cef3b, b7663d, 0
e086f8, f841fb, 0
45ed6a, 7a85be, 0
e3fdda, dcbe78, 0
fa6b8f, ad3793, 0
8be4aa, 0654c6, 0
53beb5, 631bf3, 0
a34e95, 5de840, 0
861b7d, 11cf7b, 0
783896, 6a734d, 1
0f0ebe, 3b3917, 0
163fc9, b19690, 0
1e4171, 7ee1e9, 0
c11778, b1dcc4, 0
a77611, bc6e63, 0
ee8942, c88412, 0
b87a7f, 410e5f, 0
2ffb5d, eb4f46, 0
03f8a1, 245178, 0
072618, 32637e, 0
27e6cd, d0c427, 0
ee8429, fb833b, 0
37a1d0, 9c8f28, 0
35a2ba, 0bb6b0, 0
6235d4, bcdda4, 0
0dff68, 740620, 0
537ded, c89a9c, 0
6849af, 5c3fba, 0
72ceb3, 5ebdd1, 0
359046, 637511, 0
f89201, 4419ba, 0
199650, d5e6da, 0
12e6e5, 57406b, 0
c95a73, ed166d, 0
012121, 3105ec, 0
dbd081, 93bdb5, 0
6925d5, 16d257, 0
7b4c5d, 202ba6, 0
3f778b, a1ade1, 0
25394f, dba295, 0
f01568, 3ed6d4, 0
6fb1ad, 886ded, 0
0bfbda, 887bc5, 0
45fce9, bd19e0, 0
b53fde, edcf2b, 0
ebe079, bde7f1, 1
79d58a, 8fb33f, 0
3913d0, ec1f4f, 0
dbf089, 65ec30, 0
4787f9, 0d6484, 0
6964b0, ead031, 0
742ec9, 43f5e1, 0
f0ca99, 4ad10d, 0
dd1d7a, dbe2c0, 0
9641c7, fb7e3c, 0
305e0a, ca8258, 0
72730c, 8defc9, 0
8d3baa, bccfd4, 0
8c8139, 997ace, 0
6f75fb, d9d924, 0
8958d1, c7c437, 0
73af5e, 33dceb, 0
929429, 7389ba, 0
708192, 0bb4b6, 0
eb1c77, 31bed5, 0
43a001, 7dadf4, 0
16385b, 001b86, 0
6ee2f4, 25bd51, 0
0cb9e2, f07e89, 0
20cc59, db7eab, 0
bed71c, 067b89, 1
274679, d7bdd6, 0
a67a2b, 8ff103, 0
fbbd9d, 8df381, 0
f84c47, a8fe83, 0
dcbffc, e82040, 0
2faab8, ea21af, 0
d3e18a, 0fe136, 0
61b4d0, 7a7c34, 0
1e462f, 314897, 0
df61ce, 26be3a, 0
c6041a, 7b0462, 0
c20aa7, c7b093, 0
720961, bc59be, 0
890cb9, b220bb, 0
0370ed, d8bc7e, 0
7214a4, 5ae5ba, 0
816f97, bddb11, 0
c30946, 2c6a57, 0
4415eb, 65099f, 0
7da9f8, 1b1af0, 0
0f2809, f88972, 0
aac4b6, 3a93cd, 0
f07c4b, dcaebd, 0
0b1f46, 8c177a, 1
235201, 4567a1, 0
e30459, 94fda1, 0
7d4ed0, 2b5420, 0
6f6f83, 49d366, 0
1c500f, 467bfd, 0
e9170a, 6fb2b8, 0
fde8a6, 927b71, 0
8a3b66, e85b39, 0
2cbc27, b99adb, 0
a927cb, 5d60be, 0
87820b, 3d8ade, 0
bc127f, d4f480, 0
330898, aaf837, 0
3873d7, a083aa, 0
787b75, b5588c, 0
887627, e73798, 0
4a6277, f1048c, 0
8994f2, add6e8, 0
3a1971, 5179ba, 0
f3f6b9, a01dc9, 0
4685a3, 294e86, 0
14636e, 14b35c, 0
9916ad, ee3234, 0
df5085, e976d0, 0
48db98, ac7b76, 0
e6e5bc, a60725, 0
7115c8, 0f9b55, 0
4073b9, 5a7471, 0
63b967, edefb0, 0
e1e755, 169896, 0
0c0c73, 28dafd, 0
8a4dc7, 992dfd, 0
9d7a63, 9b7b73, 0
8119e6, fdbb9c, 0
475fab, 74490e, 0
163767, 161389, 0
61d2c4, f1ed5e, 1
45900a, 2cde24, 0
0dac65, b71fa5, 0
fd9411, c8f3fc, 0
a503e1, 1e42ec, 0
52208f, d4aad9, 0
50d9b4, adf714, 0
e3627e, 43f759, 0
e5e602, 41b1a9, 1
d25762, 4df367, 0
0666fc, a3befc, 0
d7e870, 9f5562, 0
a288d2, 3553ff, 0
4435f9, 43faba, 0
064477, e72572, 0
e29293, 0e79dd, 0
0053f1, 015279, 0
d986d7, 6d50b8, 0
65ef14, caf625, 0
c71ad9, 605d87, 0
593c0d, 632c21, 0
bdfcdf, b78779, 0
30b69b, 065e5d, 0
66734a, 13c866, 0
dcb3da, a3811c, 0
8dec05, dfb9cd, 0
46f6a7, 461896, 0
6eb9b6, e8c6b3, 0
0c5c2a, 4b8ab8, 0
46ef5b, bb9b69, 0
2eadd7, ed7e62, 0
6ae7c8, b14569, 0
5d29f7, 022b7d, 0
84bee0, a970be, 0
cebbf1, 2bbc51, 0
d1872c, 32b46b, 0
a424d5, cf8e72, 0
d0eea7, ba9fd7, 0
423e69, 9ba5cb, 0
1aed96, f752ae, 0
a33b32, 7ca589, 0
d2cfd7, 860319, 0
5a898b, 662a6e, 0
c017d7, 1ddef4, 0
f3bc92, 2980e4, 0
7b14c2, ba4725, 0
a74554, 4bd5ca, 0
fd2ccd, b584a4, 0
f168cc, b6569f, 0
aae92f, 632028, 0
0e32e8, db7ec2, 0
a1c41d, 127618, 0
5ae549, 33a24b, 0
90879e, 695339, 0
c24ba9, 325322, 0
892c9e, f847c8, 0
c02ef1, fd629e, 0
e69f26, 5fde88, 0
ce2682, be9aab, 0
188e90, c761d9, 0
f44ad4, ac6c93, 0
f4529d, 8b2cd2, 0
1d045f, 995a65, 0
4c3330, b1e931, 0
a8df4b, e3d932, 0
352981, 37afde, 0
453330, ed27c4, 0
