real_A1, imag_A1, real_A2, imag_A2, tlast
51da, 4689, 51a1, da78, 0
88c6, 234e, 7b67, 56c4, 0
0423, 399d, 780d, a246, 0
2740, 6507, 139d, 32b9, 0
410e, 449a, bbc5, b0ba, 0
c7ae, b4f4, cac7, e595, 0
1a61, 8b16, 2c7b, d6c5, 0
6386, a750, 12e0, 6c35, 0
24aa, 37e3, b31f, 56a1, 0
493b, a0ef, 754c, 2128, 0
fdbb, b885, d60e, 5d90, 0
e749, f41c, a650, b75f, 0
609f, f71b, d411, 909d, 0
354b, 96fc, 9cf4, 2d91, 0
5394, 01b9, 459b, 08fd, 0
82bb, 9396, 4ae5, 0470, 0
9876, aaa1, 164a, c177, 0
0b14, 3f69, 9446, 5a52, 0
5b30, d5a6, b162, 52bc, 0
c3ad, ce18, 4680, 843e, 1
1024, 44b7, 9f2a, 2aad, 0
cdfa, 0887, 7be9, f457, 0
4127, 9181, 17d5, f266, 0
2bcd, b318, c501, 845c, 0
7098, 8314, ee97, 5c85, 0
fc33, 7770, 6e35, 7014, 0
04a1, 550a, 0204, fa90, 0
4a08, f1ff, 9069, 11e0, 0
1238, 7d90, 28bb, 7e27, 0
4438, 4b55, f2fc, e775, 0
6b8f, fd15, a5ad, b847, 0
b5d6, a16e, 4675, 5dd2, 0
1bad, b655, 0800, 3063, 0
f739, 54c3, 9680, abe5, 0
1ddf, d2e3, 6684, 824f, 0
b3fe, 3d1f, 5e3e, ab48, 0
2d77, a8ed, 8e6a, b4d6, 0
846f, 3b41, 23da, 66d0, 0
ba03, 8dbf, 63a6, 3589, 0
6a1a, 36e2, d904, a1c6, 1
4a89, 6559, 1edd, a451, 0
eb34, f5af, 9438, e808, 0
3d51, bb65, 254f, 17d5, 0
db86, b229, ad22, 4f33, 0
7327, 5985, 1e71, f879, 0
4009, 3dd9, 7866, 2c93, 0
8503, 2986, 2b50, 41d6, 0
4152, 9b6a, d4f1, ae9e, 0
696b, 560f, f538, 1ea0, 0
d906, f475, 8663, 4519, 0
9240, 268f, 05ea, ebcc, 0
5ae6, 6787, 7d3b, f061, 0
9827, 9c57, 392e, fd20, 0
0cb0, 1a94, e59e, b782, 0
6a5f, 8432, 1739, 5539, 0
05a2, 9759, 12bb, 0065, 0
8d4e, 67d9, 01f6, 9a4d, 0
f0df, 0c30, a542, dd46, 0
30f1, 24ea, ca7b, 521f, 0
c2e9, bc62, 004a, 9f73, 1
c71e, e9a5, 3207, ebf9, 0
dca2, 7c3b, 6c3a, 33e8, 0
