real_A1, imag_A1, real_A2, imag_A2, tlast
fa58, b3cf, c46c, e9f4, 0
d60a, 4d44, 6916, edaf, 0
e543, 1ee0, 6ae4, 0d2a, 0
4624, 1ee4, 232b, 0f8e, 0
42d4, 01c6, b640, fa7b, 0
f6a3, 41af, 0d67, 27d2, 0
b85b, 2d45, d525, fe60, 0
fa95, 5e1b, c076, d356, 0
2e47, 099d, 04e0, 51c1, 0
0aeb, 5426, b4c6, 2a12, 0
24e0, 229b, e631, bc3f, 0
f997, edb3, f779, aed8, 0
cb3e, d423, de46, 4da9, 0
4f28, e624, b7b2, e543, 0
28ee, 2aa7, 1e4f, 274c, 0
f793, 8b29, 233b, 27ab, 0
f6eb, a18c, 2a6a, ebe1, 0
dac2, e5d6, 08b4, 9cfa, 0
42c5, 186b, af53, 020f, 0
c8e3, 0536, e55f, 9edf, 1
e5b7, 2a6e, ba3f, e4ec, 0
1d47, 14c0, bc37, c7e0, 0
57d3, e954, 12b8, 051e, 0
108e, 3c5b, 5b52, 2053, 0
062a, 76c2, da72, c909, 0
39d2, 3d9f, 6f25, 00f0, 0
2cd6, 2835, fe4a, fc46, 0
d3fc, e1fd, 40bc, 2edc, 0
35ac, b81c, 2ab6, ac8f, 0
038f, b83a, fa3d, 12c8, 0
3452, c8c3, aefa, 094d, 0
0a34, aba2, f452, 5224, 0
32ac, e901, ebcf, 1c32, 0
25fe, 2ec5, a133, 0ab3, 0
da82, 079f, 8de6, 0b97, 0
4491, 0772, a685, fb3d, 0
bdbb, 14ce, 1336, 5e60, 0
5b69, 2028, 217b, baab, 0
e9de, 5c1f, e8f2, b369, 0
199c, 507e, 1b9f, bd65, 1
f298, 57f1, 3d46, e197, 0
053e, 0f8f, 29e8, 41e0, 0
40f6, fc5b, 06bd, 1e92, 0
eb52, 3929, 5109, 01d6, 0
0cd1, 6656, 12fc, 0b75, 0
3ef1, fee8, 527d, da17, 0
adbf, d745, f4bd, 3693, 0
11a2, 52f4, 3e39, 132a, 0
5fbd, f652, 09ec, 14b4, 0
e6be, 0db8, e5be, 5f5b, 0
dc68, 4a28, f8db, f2f1, 0
f9b0, 6137, 466d, 36ce, 0
